name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Winkler Martin,272,🇮🇹 (Italy),729,50-54,https://utmb.world/en/runner/442015.martin.winkler,Martin WINKLER
Müller Kajetan,173,🇩🇪 (Germany),709,20-34,https://utmb.world/en/runner/5067189.martin.muller,Martin MULLER
Messina Fabio,252,🇮🇹 (Italy),707,20-34,https://utmb.world/en/runner/4318205.fabio.messina,Fabio MESSINA
Egger Matthias,65,🇮🇹 (Italy),706,20-34,https://utmb.world/en/runner/5489570.matthias.egger,Matthias EGGER
Meusburger Christian,164,🇦🇹 (Austria),703,50-54,https://utmb.world/en/runner/100100.christian.meusburger,Christian MEUSBURGER
Pixner Rainhard,194,🇮🇹 (Italy),699,50-54,https://utmb.world/en/runner/241123.rainhard.pixner,Rainhard PIXNER
Ossanna Marco,181,🇮🇹 (Italy),698,20-34,https://utmb.world/en/runner/4959270.marco.ossanna,Marco OSSANNA
Saint Alexandre,228,🇧🇪 (Belgium),698,35-39,https://utmb.world/en/runner/5305222.alexandre.saint,Alexandre SAINT
Kramer Lord Jens,141,🇮🇹 (Italy),691,45-49,https://utmb.world/en/runner/322977.jens.kramer,Jens KRAMER
Sighel Luca,242,🇮🇹 (Italy),691,45-49,https://utmb.world/en/runner/109101.luca.sighel,Luca SIGHEL
Mazzola Francesco,125,🇮🇹 (Italy),685,35-39,https://utmb.world/en/runner/4316292.francesco.mazzola,Francesco MAZZOLA
Eichbichler Thomas,163,🇮🇹 (Italy),683,35-39,https://utmb.world/en/runner/743837.thomas.eichbichler,Thomas EICHBICHLER
Lechermann Thomas,150,🇩🇪 (Germany),683,40-44,https://utmb.world/en/runner/1059951.thomas.lechermann,Thomas LECHERMANN
Verdorfer Felix,262,🇮🇹 (Italy),679,20-34,https://utmb.world/en/runner/5051438.felix.verdorfer,Felix VERDORFER
Höllrigl Gregor,109,🇮🇹 (Italy),675,55-59,https://utmb.world/en/runner/524929.gregor.hollrigl,Gregor HÖLLRIGL
Thaler Matthias,299,🇮🇹 (Italy),670,20-34,https://utmb.world/en/runner/5051450.matthias.thaler,Matthias THALER
Kirk Peter,124,🇬🇧 (United Kingdom),669,40-44,https://utmb.world/en/runner/1996205.peter.kirk,Peter KIRK
Moser Kai,282,🇩🇪 (Germany),669,35-39,https://utmb.world/en/runner/2279189.kai.moser,Kai MOSER
Frank David,280,🇩🇪 (Germany),668,20-34,https://utmb.world/en/runner/4084206.david.frank,David FRANK
Mitterhofer Stefan,168,🇮🇹 (Italy),668,45-49,https://utmb.world/en/runner/4417866.stefan.mitterhofer,Stefan MITTERHOFER
Lauda Ulrich,149,🇦🇹 (Austria),665,35-39,https://utmb.world/en/runner/2130891.ulrich.lauda,Ulrich LAUDA
Reiter Bernhard,212,🇩🇪 (Germany),662,40-44,https://utmb.world/en/runner/2593661.bernhard.reiter,Bernhard REITER
Brunner Karl,42,🇮🇹 (Italy),656,50-54,https://utmb.world/en/runner/5051496.karl.brunner,Karl BRUNNER
Gross Christian,94,🇩🇪 (Germany),651,40-44,https://utmb.world/en/runner/4015961.christian.gross,Christian GROSS
Lutz Christoph,114,🇮🇹 (Italy),649,40-44,https://utmb.world/en/runner/118321.christoph.lutz,Christoph LUTZ
Altorfer Oliver,24,🇨🇭 (Switzerland),647,55-59,https://utmb.world/en/runner/156.oliver.altorfer,Oliver ALTORFER
Wolf Torben,275,🇩🇪 (Germany),647,35-39,https://utmb.world/en/runner/770506.torben.wolf,Torben WOLF
Innerhofer Toni,117,🇮🇹 (Italy),645,45-49,https://utmb.world/en/runner/3337903.toni.innerhofer,Toni INNERHOFER
Höller Josef,156,🇮🇹 (Italy),644,60-64,https://utmb.world/en/runner/4790164.karljosef.holler,Karl Josef HÖLLER
Schlapp Christian,230,🇩🇪 (Germany),644,50-54,https://utmb.world/en/runner/4007701.christian.schlapp,Christian SCHLAPP
Huber Felix,112,🇩🇪 (Germany),643,20-34,https://utmb.world/en/runner/5305226.korbinian.huber,Korbinian HUBER
Dr. Novotny Johannes,61,🇩🇪 (Germany),641,60-64,https://utmb.world/en/runner/4701474.dr-thomas.miksch,Dr. Thomas MIKSCH
Röske Helge,217,🇩🇪 (Germany),639,20-34,https://utmb.world/en/runner/3175393.helge.roske,Helge RÖSKE
