name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Kramer Dominik,6020,🇦🇹 (Austria),463,20-34,https://utmb.world/en/runner/3035989.dominik.kramer,Dominik KRAMER
Aigner Tobias,4293,🇩🇪 (Germany),462,20-34,https://utmb.world/en/runner/5305332.tobias.aigner,Tobias AIGNER
Breuch Frank,4444,🇩🇪 (Germany),462,50-54,https://utmb.world/en/runner/4227331.frank.breuch,Frank BREUCH
Affetti Lorenzo,4647,🇮🇹 (Italy),458,20-34,https://utmb.world/en/runner/5558798.lorenzo.affetti,Lorenzo AFFETTI
Kathrein Bernhard,4457,🇦🇹 (Austria),458,40-44,https://utmb.world/en/runner/4218990.bernhard.kathrein,Bernhard KATHREIN
Stadlöder Nikolas,4868,🇩🇪 (Germany),458,60-64,https://utmb.world/en/runner/5411446.karlheinz.stadler,Karlheinz STADLER
Klenner Jacob,4516,🇳🇿 (New Zealand),456,20-34,https://utmb.world/en/runner/5946818.jacob.klenner,Jacob KLENNER
Lampe Philip,4205,🇩🇪 (Germany),456,20-34,https://utmb.world/en/runner/5306600.philip.lampe,Philip LAMPE
Troost Enrico,4554,🇩🇪 (Germany),455,65-69,https://utmb.world/en/runner/65878.reiner.trost,Reiner TROST
Heuser Jacob,4433,🇩🇪 (Germany),454,20-34,https://utmb.world/en/runner/5306606.jacob.heuser,Jacob HEUSER
Käser Philipp,4248,🇩🇪 (Germany),454,20-34,https://utmb.world/en/runner/4214673.philipp.kaser,Philipp KÄSER
Scherler Remo,4869,🇨🇭 (Switzerland),454,35-39,https://utmb.world/en/runner/4160237.remo.scherler,Remo SCHERLER
Zhou Qing,4873,🇨🇳 (China),454,50-54,https://utmb.world/en/runner/4684650.qingchunzhou.qingchunzhou,Qingchun Zhou QINGCHUN ZHOU
Kammerer Jochen,4523,🇩🇪 (Germany),452,45-49,https://utmb.world/en/runner/1060221.jochen.kammerer,Jochen KAMMERER
Fischer Florentin,4700,🇩🇪 (Germany),449,20-34,https://utmb.world/en/runner/5066137.florentin.fischer,Florentin FISCHER
